           1           0         197         197   6.56351185    
     2.751      3.363     1     3      6.705     0  2212
     1.668      0.933     2     3      6.556     0  2212
     5.421      3.128     3     0      6.047  2212  2212
     0.441      1.724     4     3      5.951     0  2212
     2.357     -1.326     5     3      5.762     0  2212
     4.892      1.668     6     3      5.655     0  2212
     0.258     -3.013     7     3      5.639     0  2212
     7.243     -1.594     8     0      5.230  2212  2212
     2.377     -1.061     9     2      5.093  2212  2212
     5.937     -0.722    10     0      4.951  2212  2212
     2.313      6.319    11     3      4.862     0  2212
     0.071      1.601    12     3      4.547     0  2212
     2.887      3.608    13     3      4.432     0  2212
     6.240      0.214    14     0      4.213  2212  2212
     0.722      1.903    15     3      4.208     0  2212
     3.082     -4.964    16     3      3.984     0  2212
    -0.308      0.804    17     3      3.964     0  2212
     4.255      2.482    18     0      3.876  2212  2212
     5.476     -1.551    19     0      3.861  2212  2212
    -1.658      5.648    20     3      3.812     0  2212
     4.640      4.209    21     0      3.740  2212  2212
     2.544     -5.810    22     0      3.610  2212  2212
     0.463      4.344    23     3      3.595     0  2212
    -0.773     -1.864    24     3      3.488     0  2212
    -0.179      5.862    25     1      3.486  2212  2212
    -2.179      0.499    26     3      3.482     0  2212
     5.068      4.032    27     0      3.452  2212  2212
     2.599     -2.530    28     3      3.434     0  2212
     6.353     -3.677    29     0      3.367  2212  2212
    -2.942     -1.385    30     3      3.344     0  2212
     6.354      1.065    31     0      3.310  2212  2212
     7.468      3.606    32     0      3.166  2212  2212
     5.379     -2.275    33     0      3.106  2212  2212
    -0.404      0.883    34     3      2.997     0  2212
    -0.358     -0.779    35     3      2.979     0  2212
    -0.838      3.162    36     3      2.973     0  2212
     5.724      0.040    37     0      2.922  2212  2212
     6.795     -4.547    38     0      2.890  2212  2212
    -1.121      0.608    39     3      2.850     0  2212
    -1.873     -0.152    40     3      2.775     0  2212
     0.941     -0.270    41     3      2.743     0  2212
     3.142      2.463    42     0      2.731  2212  2212
     1.162      4.341    43     3      2.703     0  2212
     4.543     -3.267    44     3      2.638     0  2212
     9.102      0.845    45     0      2.604  2212  2212
     3.549     -0.963    46     3      2.598     0  2212
