# Particle/energy density (Gauss smear)
# Event=   10 Gaussian width=   1.000
# (1) time
# (2) rho                         (17)
# (3) rho_b                       (18)
# (4)  e(GeV/fm^3)                (19)
# (5)  T_xy                       (20)
# (6)  T_z                        (21)
# (7)  Lorentz invariant rho      (22)
# (8)  Lorentz invariant rho_b    (23)
# (9)  Lorentz invariant e        (24)
# (10) Lorentz invariant p        (25)
# (11) P_perp                     (26)
# (12) P_L                        (27)
# (13) Lorentz invariant T        (28)
# (14) Transeerse of F_x * x      (29)
# (15) full (F_i * i)/3           (30)
# (16) rho_s                      (31)
#   (1)       (2)       (3)       (4)        (5)      (6)        (7)        (8)        (9)        (10)       (11)      (12)      (13)      (14)      (15)       (16)     (17)       (18)       (19)       (20)       (21)       (21)
  3.9000      0.31900478      0.30316422      0.38371772      0.02282334      0.07703541      0.31900478      0.30316422      0.38371772      0.04089403      0.02282482      0.07703246      0.12819253      0.07527200      0.05018133      0.00000000       0.31900478      0.30316422      0.38371772      0.02282334      0.07703541      0.31900478      0.30316422      0.38371772      0.04089403      0.02282482      0.07703246      0.12819253      0.00005050      0.00003367      0.00000000
  4.2000      0.34011588      0.33042739      0.41111762      0.02390966      0.07173437      0.34011588      0.33042739      0.41111762      0.03985123      0.02391061      0.07173247      0.11716957      0.00000000      0.00400000      0.00000000       0.34011588      0.33042739      0.41111762      0.02390966      0.07173437      0.34011588      0.33042739      0.41111762      0.03985123      0.02391061      0.07173247      0.11716957      0.00000000      0.05066667      0.00000000
  4.5000      0.34643984      0.34048896      0.42192331      0.02496313      0.07136535      0.34643984      0.34048896      0.42192331      0.04043054      0.02496369      0.07136423      0.11670292      0.10000000      0.06666667      0.00000000       0.34643984      0.34048896      0.42192331      0.02496313      0.07136535      0.34643984      0.34048896      0.42192331      0.04043054      0.02496369      0.07136423      0.11670292      0.00000000      0.00000000      0.00000000
  4.8000      0.37272408      0.35607650      0.44696386      0.02973879      0.07099657      0.37272408      0.35607650      0.44696386      0.04349138      0.02973991      0.07099433      0.11668520      0.00000000      0.00000000      0.00000000       0.37272408      0.35607650      0.44696386      0.02973879      0.07099657      0.37272408      0.35607650      0.44696386      0.04349138      0.02973991      0.07099433      0.11668520      0.00000000      0.00000000      0.00000000
  5.1000      0.41884281      0.39192491      0.49162574      0.03247267      0.08683697      0.41884281      0.39192491      0.49162574      0.05059410      0.03247313      0.08683604      0.12079496      0.00000000      0.00000000      0.00000000       0.41884281      0.39192491      0.49162574      0.03247267      0.08683697      0.41884281      0.39192491      0.49162574      0.05059410      0.03247313      0.08683604      0.12079496      0.00000000      0.00000000      0.00000000
  5.4000      0.42986364      0.41057528      0.51275525      0.03745486      0.07893036      0.42986364      0.41057528      0.51275525      0.05128003      0.03745366      0.07893275      0.11929370      0.00342177      0.01184100      0.00000000       0.42986364      0.41057528      0.51275525      0.03745486      0.07893036      0.42986364      0.41057528      0.51275525      0.05128003      0.03745366      0.07893275      0.11929370      0.23159529      0.15439686      0.00000000
  5.7000      0.46363736      0.44973371      0.56155495      0.03716837      0.08051245      0.46363736      0.44973371      0.56155495      0.05161640      0.03716835      0.08051250      0.11132925      0.05000000      0.03333333      0.00000000       0.46363736      0.44973371      0.56155495      0.03716837      0.08051245      0.46363736      0.44973371      0.56155495      0.05161640      0.03716835      0.08051250      0.11132925      0.04538408      0.03025605      0.00000000
  6.0000      0.48024704      0.46451705      0.57464784      0.04416153      0.07657796      0.48024704      0.46451705      0.57464784      0.05496701      0.04416389      0.07657324      0.11445569      0.02939031      0.04984959      0.00000000       0.48024704      0.46451705      0.57464784      0.04416153      0.07657796      0.48024704      0.46451705      0.57464784      0.05496701      0.04416389      0.07657324      0.11445569      0.05000000      0.06666667      0.00000000
  6.3000      0.50669074      0.49191022      0.60756366      0.05240624      0.07800966      0.50669074      0.49191022      0.60756366      0.06094071      0.05240709      0.07800796      0.12027200     -0.03552213     -0.06276817      0.00000000       0.50669074      0.49191022      0.60756366      0.05240624      0.07800966      0.50669074      0.49191022      0.60756366      0.06094071      0.05240709      0.07800796      0.12027200      0.00256765      0.00171177      0.00000000
  6.6000      0.53869031      0.51884124      0.63804658      0.05722826      0.08690206      0.53869031      0.51884124      0.63804658      0.06711953      0.05722754      0.08690351      0.12459761      0.00000000      0.09517667      0.00000000       0.53869031      0.51884124      0.63804658      0.05722826      0.08690206      0.53869031      0.51884124      0.63804658      0.06711953      0.05722754      0.08690351      0.12459761      0.00001221 488973.30000814      0.00000000
