# Const.Quarks: yproj=  0.740 ycut/yproj=  1.000
# time(fm/c) N(det) px(dir) v1 v2 eps eps(t) px^2 py^2 pt^2 alp Edir N(det-all) N(all) px(dir) v1 v2
# 1          2      3       4  5  6   7      8    9    10   11  12         13     14      15 16
   7.50  1.00E-01  8.42E-02  3.51E-01 -7.54E-01 -8.00E-01 -8.35E-01  7.09E-03  5.05E-02  2.40E-01  1.40E-01  1.00E+00  1.00E-01  1.00E+00  8.42E-02  3.51E-01 -7.54E-01
   7.80  5.00E-01 -1.81E-01 -7.77E-01  2.91E-01  7.16E-02  5.48E-02  3.68E-02  4.89E-02  2.58E-01  1.30E-01  1.00E+00  6.00E-01  1.00E+00 -1.49E-01 -6.08E-01  9.40E-02
   8.10  3.00E-01 -8.58E-02 -6.07E-02 -1.29E-01 -3.60E-01 -3.56E-01  4.16E-02  9.97E-03  1.95E-01  1.10E-01  1.00E+00  4.00E-01  1.00E+00 -1.15E-01 -2.72E-01  6.30E-02
   8.40  6.00E-01  5.63E-02  1.71E-01  8.21E-02  3.74E-01  3.71E-01  2.37E-02  2.25E-02  2.08E-01  1.13E-01  1.00E+00  7.00E-01  1.00E+00  4.40E-02  5.62E-03  2.07E-01
   8.70  1.20E+00 -5.78E-02 -1.82E-01  5.55E-02 -4.88E-01 -4.81E-01  5.24E-02  3.28E-02  2.59E-01  1.62E-01  1.00E+00  1.60E+00  1.00E+00 -5.11E-02 -1.84E-01  6.07E-02
   9.00  9.00E-01 -4.80E-02 -1.77E-01  1.74E-01  3.69E-01  3.65E-01  2.80E-02  2.05E-02  1.99E-01  1.10E-01  1.00E+00  1.10E+00  2.00E+00 -2.48E-02 -2.81E-02  1.41E-01
   9.30  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
   9.60  7.00E-01 -3.69E-02 -7.92E-02  5.66E-02  2.65E-01  2.67E-01  3.42E-02  2.39E-02  2.06E-01  1.20E-01  1.00E+00  8.00E-01  1.00E+00 -2.97E-02 -2.39E-02 -4.26E-02
   9.90  1.30E+00  5.59E-03 -4.82E-02 -3.39E-01  1.43E-01  1.52E-01  1.49E-02  3.87E-02  2.06E-01  1.17E-01  1.00E+00  1.30E+00  1.00E+00  5.59E-03 -4.82E-02 -3.39E-01
  10.20  6.00E-01 -1.34E-01 -4.56E-01 -1.78E-01 -3.81E-01 -3.97E-01  3.44E-02  8.61E-02  3.30E-01  2.21E-01  1.00E+00  7.00E-01  1.00E+00 -1.29E-01 -5.31E-01 -2.02E-02
