       1       0     577    6.5635   10  102    9  111
    21    1.072    0.574     -0.579  0.000     2.67     5.61    -0.00     0.00
    21   -2.459    4.513    -14.293  0.000     1.30     1.22    -2.99     3.19
    21   -5.338   -0.768      3.075  0.000    -1.69     0.74     0.52     1.12
    21   -1.053   -0.807      0.492  0.000     1.91    -0.53     0.01     0.02
    21    0.659    1.213     -1.411  0.000     1.94    -0.51    -0.02     0.02
    21    1.430    1.375     -0.447  0.000     0.73     1.61    -0.07     1.71
    21    1.056    2.803      5.891  0.000     0.87     2.04     0.56     0.63
    21   -0.736    1.852     -0.333  0.000     0.30     2.95    -0.37     1.19
    21    0.449    0.822      2.093  0.000    -3.50     1.10     0.03     0.03
    21    0.057   -0.266     -0.013  0.000     0.29     1.47     1.25     1.66
    21    0.471   -1.492     -0.262  0.000    -2.04    -2.96    -0.55     2.74
    21    0.657    2.333      1.075  0.000    -2.89     3.05     1.04     2.31
    21    2.260    0.611     -0.764  0.000     3.02    -0.52    -0.25     0.64
    21    2.512   -0.474     -0.749  0.000    -1.93     1.18    -0.48     1.64
    21    0.964   -1.956      1.750  0.000    -1.64     5.62     0.02     0.04
    21    0.310   -2.448      7.153  0.000     3.44     1.55     7.06     7.48
    21   -1.368   -0.061     -0.346  0.000    -3.02    -1.69    -1.28     5.26
    21   -2.406    0.572      3.012  0.000    -3.32     5.21     2.07     2.69
    21   -1.983   -0.246     -1.144  0.000    -2.36     4.86    -0.02     0.04
    21    2.822    1.333      5.782  0.000     1.23    -1.03     0.04     0.05
    21    5.038   -2.701     -6.472  0.000    -2.68     3.65    -0.03     0.05
    21    1.347   -1.571     -1.613  0.000     0.64     2.22    -1.18     2.30
    21   -1.868   -0.663     -6.926  0.000    -1.69     0.33    -1.94     2.04
    21    0.352    1.973     -0.096  0.000     4.08     0.42    -0.00     0.05
    21    2.478    0.249     -1.008  0.000     2.61    -0.32    -0.15     0.73
    21   -3.945   -1.561    -15.405  0.000    -1.64    -0.27    -0.05     0.05
    21    1.713    4.495     -0.798  0.000    -0.75     3.41    -0.04     0.27
    21    0.428    0.410      1.568  0.000     1.12     2.75     1.07     1.50
    21   -0.555    4.684      1.520  0.000    -2.33    -0.73     0.16     0.60
    21    1.625    0.346      1.738  0.000    -1.62     3.70     0.04     0.06
